ra,ano,fase,pedra,idade_unificada,genero,bolsa,ian,ida,ieg,iaa,ips,ipp,ipv,inde,delta_ida,delta_ieg,delta_ips,risco_defasagem
RA-1136,2024,Fase 3,Quartzo,14,Feminino,Não,5.0,1.6666666666666667,4.547899159666667,8.751,8.135,7.5,6.383333333,5.458179831866667,-4.933333333333333,-3.552100840333333,5.615,1
RA-1137,2023,Fase 2,Topázio,10,Feminino,Não,10.0,6.5,9.8,9.5,6.27,9.375,9.843333333,8.743366667,0.0,0.0,0.0,0
RA-1137,2024,Fase 3,Ametista,11,Feminino,Não,10.0,3.5,7.588638262333333,8.334,8.13,8.28125,7.4575,7.183752652466668,-3.0,-2.2113617376666674,1.8600000000000012,0
RA-1138,2023,Fase 2,Topázio,12,Feminino,Não,5.0,9.3,9.2,9.0,6.27,9.166666667,8.566666667,8.3472,0.0,0.0,0.0,1
RA-1139,2023,Fase 2,Ametista,11,Masculino,Não,10.0,5.3,9.1,8.5,5.64,8.125,7.79,7.6647,0.0,0.0,0.0,0
RA-1139,2024,Fase 3,Agata,12,Masculino,Não,10.0,4.666666666666667,6.152715121333333,8.334,7.51,7.5,7.04,6.906276357600001,-0.6333333333333329,-2.9472848786666663,1.87,0
RA-114,2022,Fase 4,Nao_Informado,16,Masculino,Não,5.0,5.3,6.3,7.9,7.5,,5.0,5.894,0.0,0.0,0.0,1
RA-114,2023,Fase 5,Quartzo,0,Masculino,Não,5.0,5.6,6.0,0.0,3.14,7.5,7.255,5.335,0.2999999999999998,-0.2999999999999998,-4.359999999999999,1
RA-1140,2023,Fase 2,Ametista,11,Feminino,Não,10.0,7.3,8.7,4.7,7.52,7.708333333,7.62,7.703533333,0.0,0.0,0.0,0
RA-1140,2024,Fase 2,Ametista,12,Feminino,Não,10.0,7.0,6.112440191499999,6.834,7.51,8.125,7.39,7.3473880383,-0.2999999999999998,-2.5875598085,-0.009999999999999787,0
RA-1141,2023,Fase 2,Ametista,12,Feminino,Não,5.0,5.9,8.8,9.0,7.52,7.708333333,7.113333333,7.2757,0.0,0.0,0.0,1
RA-1141,2024,Fase 3,Agata,13,Feminino,Não,10.0,4.166666666666667,6.191537667666666,9.585,7.51,6.5625,6.7825,6.793890866866667,-1.7333333333333334,-2.6084623323333345,-0.009999999999999787,0
RA-1142,2023,Fase 2,Topázio,11,Feminino,Não,10.0,10.0,10.0,9.0,7.52,8.541666667,8.343333333,9.175033333,0.0,0.0,0.0,0
RA-1142,2024,Fase 3,Topázio,12,Feminino,Não,10.0,8.5,9.133333333333333,8.334,7.51,8.125,7.335,8.390566666666668,-1.5,-0.8666666666666671,-0.009999999999999787,0
RA-1143,2023,Fase 3,Agata,15,Feminino,Não,5.0,5.3,7.0,8.8,6.26,7.5,6.2075,6.445933333,0.0,0.0,0.0,1
RA-1143,2024,Fase 3,Quartzo,16,Feminino,Não,2.5,3.1666666666666665,5.201336675,9.585,9.38,7.03125,6.79,5.881225668333334,-2.1333333333333333,-1.7986633249999997,3.120000000000001,1
RA-1144,2023,Fase 3,Ametista,13,Feminino,Não,10.0,8.0,9.4,0.0,5.02,8.28125,8.0025,7.410625,0.0,0.0,0.0,0
RA-1145,2023,Fase 3,Ametista,11,Feminino,Não,10.0,7.8,9.5,0.0,4.39,8.59375,8.63,7.484375,0.0,0.0,0.0,0
RA-1146,2023,Fase 3,Agata,14,Feminino,Não,5.0,3.7,8.8,9.6,6.26,7.1875,6.965,6.689583333,0.0,0.0,0.0,1
RA-1146,2024,Fase 3,Quartzo,15,Feminino,Não,5.0,2.0,5.017209691,10.0,6.88,6.25,5.883333333,5.3933086048000005,-1.7000000000000002,-3.782790309000001,0.6200000000000001,1
RA-1147,2023,Fase 3,Ametista,0,Feminino,Não,5.0,6.7,8.3,8.3,6.26,7.1875,7.0075,7.072983333,0.0,0.0,0.0,1
RA-1147,2024,Fase 3,Quartzo,15,Feminino,Não,5.0,3.1666666666666665,6.125925926,8.751,8.755,6.25,5.495,5.833118518533334,-3.5333333333333337,-2.174074074000001,2.495000000000001,1
RA-1148,2023,Fase 3,Ametista,11,Feminino,Não,10.0,5.7,8.6,7.9,3.77,7.5,7.2125,7.227866667,0.0,0.0,0.0,0
RA-1149,2023,Fase 3,Ametista,0,Feminino,Não,5.0,7.2,9.8,8.3,2.52,7.96875,8.1725,7.410108333,0.0,0.0,0.0,1
RA-1149,2024,Fase 4,Topázio,15,Feminino,Não,5.0,6.0,10.0,8.334,10.0,8.625,8.706,8.1371,-1.2000000000000002,0.1999999999999993,7.48,1
RA-115,2022,Fase 4,Nao_Informado,16,Feminino,Não,5.0,3.8,6.8,8.3,6.3,,5.583,5.886,0.0,0.0,0.0,1
RA-115,2023,Fase 5,Agata,16,Feminino,Não,5.0,4.2,7.1,8.8,5.0,7.34375,7.215,6.319141667,0.40000000000000036,0.2999999999999998,-1.2999999999999998,1
RA-115,2024,Fase 5,Quartzo,17,Feminino,Não,5.0,4.166666666666667,4.164756812,7.917,6.26,6.75,5.726,5.404184695733334,-0.033333333333333215,-2.9352431879999994,1.2599999999999998,1
RA-1150,2023,Fase 3,Ametista,16,Masculino,Não,2.5,6.7,9.8,9.2,2.52,7.96875,7.835,7.076008333,0.0,0.0,0.0,1
RA-1150,2024,Fase 4,Ametista,17,Masculino,Não,5.0,6.833333333333333,6.481481481666667,8.334,7.51,7.65625,7.946666667,7.1023212964,0.13333333333333286,-3.3185185183333337,4.99,1
RA-1151,2023,Fase 3,Ametista,0,Feminino,Não,10.0,8.3,9.5,7.5,2.52,7.65625,7.545,7.829958333,0.0,0.0,0.0,0
RA-1151,2024,Fase 4,Topázio,13,Feminino,Não,10.0,9.0,9.722222222333334,7.5,5.635,8.125,9.393333333,8.749111111066668,0.6999999999999993,0.22222222233333433,3.1149999999999998,0
RA-1152,2023,Fase 3,Agata,0,Masculino,Não,5.0,6.8,9.4,0.0,5.0,7.8125,7.585,6.544916667,0.0,0.0,0.0,1
RA-1153,2023,Fase 3,Ametista,14,Feminino,Não,5.0,7.2,10.0,7.9,7.52,7.65625,8.63,7.968658333,0.0,0.0,0.0,1
RA-1153,2024,Fase 4,Topázio,15,Feminino,Sim,5.0,8.5,9.702380952333334,8.751,5.635,8.75,9.074,8.268876190466667,1.2999999999999998,-0.29761904766666625,-1.8849999999999998,1
RA-1154,2023,Fase 3,Ametista,13,Masculino,Não,10.0,5.1,9.3,9.6,5.63,7.65625,7.67,7.701125,0.0,0.0,0.0,0
RA-1154,2024,Fase 3,Ametista,14,Masculino,Não,5.0,8.0,9.2,7.917,7.51,7.34375,6.745,7.566075,2.9000000000000004,-0.10000000000000142,1.88,1
RA-1155,2023,Fase 3,Ametista,14,Feminino,Não,5.0,8.0,9.2,9.2,5.63,7.5,8.2925,7.821633333,0.0,0.0,0.0,1
RA-1155,2024,Fase 4,Ametista,15,Feminino,Não,5.0,4.666666666666667,8.888888889,8.334,5.005,8.0,8.87,7.119011111133333,-3.333333333333333,-0.3111111109999989,-0.625,1
RA-1156,2023,Fase 3,Ametista,12,Feminino,Não,10.0,5.3,9.2,8.3,2.52,7.96875,7.7925,7.340775,0.0,0.0,0.0,0
RA-1156,2024,Fase 4,Agata,13,Feminino,Não,10.0,2.0,7.821067821,7.5,7.51,7.125,7.5,6.6777135642,-3.3,-1.3789321789999995,4.99,0
RA-1157,2023,Fase 3,Ametista,14,Masculino,Não,5.0,5.7,8.8,9.2,6.26,7.5,7.0025,7.086633333,0.0,0.0,0.0,1
RA-1157,2024,Fase 3,Ametista,15,Masculino,Não,5.0,7.0,9.082539682666663,9.585,7.51,7.96875,8.466,7.916082936533334,1.2999999999999998,0.28253968266666263,1.25,1
RA-1158,2023,Fase 3,Agata,14,Feminino,Não,5.0,4.3,8.6,7.5,2.52,7.5,7.34,6.306666667,0.0,0.0,0.0,1
RA-1159,2023,Fase 3,Quartzo,0,Feminino,Não,10.0,3.1,6.6,5.8,2.52,7.1875,7.1325,5.913883333,0.0,0.0,0.0,0
RA-116,2022,Fase 4,Nao_Informado,16,Feminino,Não,5.0,5.9,8.1,5.8,6.3,,7.792,6.854,0.0,0.0,0.0,1
RA-116,2023,Fase 5,Agata,17,Feminino,Não,5.0,4.7,7.6,6.7,5.0,7.96875,7.5475,6.433075,-1.2000000000000002,-0.5,-1.2999999999999998,1
RA-116,2024,Fase 5,Agata,18,Feminino,Não,5.0,4.5,7.535353535666666,8.334,5.635,6.875,6.73,6.337470707133334,-0.20000000000000018,-0.06464646433333332,0.6349999999999998,1
RA-1160,2023,Fase 3,Agata,0,Masculino,Não,10.0,2.7,8.7,9.6,2.52,6.875,7.2575,6.636166667,0.0,0.0,0.0,0
RA-1160,2024,Fase 3,Agata,14,Masculino,Não,5.0,3.1666666666666665,8.201288245,8.751,7.51,6.25,6.2475,6.274190982333334,0.46666666666666634,-0.49871175499999865,4.99,1
RA-1161,2023,Fase 3,Ametista,0,Feminino,Não,10.0,6.3,8.1,6.3,2.52,8.28125,8.63,7.317791667,0.0,0.0,0.0,0
RA-1162,2023,Fase 3,Ametista,13,Feminino,Não,10.0,6.0,8.5,8.3,3.77,7.8125,7.7525,7.44215,0.0,0.0,0.0,0
RA-1162,2024,Fase 4,Ametista,14,Feminino,Não,10.0,5.666666666666667,9.135672514666666,7.917,6.26,6.875,7.0375,7.473167836266667,-0.33333333333333304,0.6356725146666662,2.4899999999999998,0
RA-1163,2023,Fase 3,Ametista,14,Masculino,Não,5.0,7.2,9.3,8.8,7.52,7.65625,7.75,7.749391667,0.0,0.0,0.0,1
RA-1163,2024,Fase 4,Topázio,15,Masculino,Não,10.0,7.833333333333333,9.824561403666666,8.334,7.51,8.125,8.755,8.6794789474,0.6333333333333329,0.5245614036666648,-0.009999999999999787,0
RA-1164,2023,Fase 3,Agata,13,Masculino,Não,10.0,4.8,7.5,9.2,2.52,7.65625,7.545,6.910091667,0.0,0.0,0.0,0
RA-1165,2023,Fase 3,Ametista,12,Feminino,Não,10.0,7.3,9.1,9.2,5.0,7.1875,7.2925,7.880716667,0.0,0.0,0.0,0
RA-1165,2024,Fase 3,Ametista,13,Feminino,Não,10.0,8.0,6.829721362333333,8.751,8.135,6.875,7.83,7.908044272466667,0.7000000000000002,-2.2702786376666664,3.135,0
RA-1166,2023,Fase 3,Ametista,15,Feminino,Não,5.0,4.8,9.6,8.3,7.52,7.65625,7.9175,7.307858333,0.0,0.0,0.0,1
RA-1166,2024,Fase 4,Ametista,16,Feminino,Não,5.0,6.333333333333333,8.498245614,8.334,6.26,8.020833333,8.625,7.452799122766667,1.5333333333333332,-1.1017543859999996,-1.2599999999999998,1
RA-1167,2023,Fase 3,Agata,16,Masculino,Não,2.5,3.8,7.6,8.8,2.52,7.65625,7.9625,6.021891667,0.0,0.0,0.0,1
RA-1168,2023,Fase 3,Quartzo,13,Feminino,Não,10.0,3.5,8.8,0.0,2.52,7.65625,7.045,5.886625,0.0,0.0,0.0,0
RA-1168,2024,Fase 3,Agata,14,Feminino,Não,5.0,5.666666666666667,7.682352941333334,9.585,7.51,7.1875,6.33,6.864053921600001,2.166666666666667,-1.117647058666667,4.99,1
RA-1169,2023,Fase 3,Ametista,0,Feminino,Não,5.0,6.3,9.5,7.5,5.0,7.03125,8.0025,7.213625,0.0,0.0,0.0,1
RA-1169,2024,Fase 4,Agata,15,Feminino,Não,5.0,6.833333333333333,8.444444444333334,6.25,5.635,7.8125,6.8,6.885305555533334,0.5333333333333332,-1.0555555556666665,0.6349999999999998,1
RA-117,2022,Fase 4,Nao_Informado,15,Feminino,Não,5.0,6.1,6.3,7.9,6.9,,7.417,6.685,0.0,0.0,0.0,1
RA-1170,2023,Fase 3,Agata,0,Masculino,Não,5.0,5.9,7.7,8.8,7.52,7.1875,6.5775,6.874683333,0.0,0.0,0.0,1
RA-1170,2024,Fase 3,Agata,15,Masculino,Não,5.0,3.5,5.565079365,9.168,8.13,7.03125,6.7475,6.095440873,-2.4000000000000004,-2.1349206350000003,0.6100000000000012,1
RA-1171,2023,Fase 3,Ametista,14,Masculino,Não,5.0,8.7,8.4,7.9,5.0,8.75,8.88,7.856033333,0.0,0.0,0.0,1
